Year ,District ,Fishery ,Stock ,Age1.1,Age1.2,Age1.3,Age2.2,Age1.4,Age2.3,Age1.5,Age2.4,Age1.6,Age2.5,Total
1981,1,US_Comm,Lower,0,1509,5095,0,503,0,13,0,0,0,7120
1981,1,US_Comm,Middle,0,836,5833,0,57050,0,988,0,0,0,64707
1981,1,US_Comm,Upper,0,931,7223,0,18331,0,1194,0,0,0,27679
1981,1,US_Subsistence,Lower,0,3,61,0,0,0,0,0,0,0,64
1981,1,US_Subsistence,Middle,0,5,120,0,1366,0,24,0,0,0,1515
1981,1,US_Subsistence,Upper,0,4,276,0,398,0,25,0,0,0,703
1981,2,US_Comm,Lower,0,606,1971,0,355,0,9,0,0,0,2941
1981,2,US_Comm,Middle,0,386,3526,0,26569,0,431,0,0,0,30912
1981,2,US_Comm,Upper,0,430,3584,0,7453,0,461,0,0,0,11928
1981,2,US_Subsistence,Lower,0,5,95,0,0,0,0,0,0,0,100
1981,2,US_Subsistence,Middle,0,7,187,0,2143,0,38,0,0,0,2375
1981,2,US_Subsistence,Upper,0,7,434,0,624,0,40,0,0,0,1105
1981,3,US_Comm,Lower,0,69,256,0,57,0,2,0,0,0,384
1981,3,US_Comm,Middle,0,41,176,0,2293,0,38,0,0,0,2548
1981,3,US_Comm,Upper,0,50,391,0,616,0,34,0,0,0,1091
1981,3,US_Subsistence,Lower,0,6,106,0,0,0,0,0,0,0,112
1981,3,US_Subsistence,Middle,0,8,210,0,2395,0,42,0,0,0,2655
1981,3,US_Subsistence,Upper,0,8,485,0,697,0,44,0,0,0,1234
1981,4,US_Comm,Lower,0,69,46,0,1,0,0,0,0,0,116
1981,4,US_Comm,Middle,0,45,43,0,784,0,23,0,0,0,895
1981,4,US_Comm,Upper,0,53,119,0,150,0,14,0,0,0,336
1981,4,US_Subsistence,Lower,0,194,130,0,3,0,0,0,0,0,327
1981,4,US_Subsistence,Middle,0,127,121,0,2208,0,65,0,0,0,2521
1981,4,US_Subsistence,Upper,0,149,335,0,423,0,39,0,0,0,946
1981,5,US_Comm,Upper,0,466,1779,0,3843,0,286,0,0,0,6374
1981,5,US_Subsistence,Upper,0,2090,4692,0,5914,0,552,0,0,0,13248
1981,6,US_Comm,Middle,0,40,47,0,875,0,25,0,0,0,987
1981,6,US_Sport,Middle,1,41,214,0,510,0,3,0,0,0,769
1981,6,US_Subsistence,Middle,0,113,133,0,2469,0,70,0,0,0,2785
1981,7,CA_Comm,Upper,0,628,2398,0,5181,0,386,0,0,0,8593
1981,7,CA_Subsistence,Upper,0,695,2656,0,5738,0,427,0,0,0,9516
1982,1,US_Comm,Lower,0,2692,8159,2,4116,0,181,0,0,0,15150
1982,1,US_Comm,Middle,0,1304,3200,2,14873,13,1171,38,0,0,20601
1982,1,US_Comm,Upper,0,244,3073,39,25960,361,7359,1271,0,393,38700
1982,1,US_Subsistence,Lower,0,25,80,0,68,0,2,0,0,0,175
1982,1,US_Subsistence,Middle,0,58,141,0,415,0,18,1,0,0,633
1982,1,US_Subsistence,Upper,0,15,161,0,1088,11,171,51,0,6,1503
1982,2,US_Comm,Lower,0,1336,2028,0,1572,0,69,0,0,0,5005
